RMSE,Penalty
0.0418432,8
0.0291974,8
0.089911,5
0.0252023,5
0.0621969,6
0.103669,4
0.0663822,7
0.0654984,5
0.0557179,5
0.0410588,8
0.0451176,8
0.0994523,7
0.0508792,9
0.0573545,6
0.0385779,9
0.0444127,6
0.0427695,7
0.0209959,10
0.0543451,9
0.000409714,11
0.0318088,11
0.0454447,9
0.0485727,8
0.00108715,9
0.0778883,4
0.098192,4
0.0896036,4
0.00866188,10
0.038954,6
0.0384444,8
0.106014,5
0.0661657,6
0.0523332,4
0.00518603,7
0.056954,7
0.0478725,6
0.499929,6
0.0585564,6
0.0193475,11
0.0633786,6
3.27953e-15,21
8.54435e-15,12
9.03374e-13,13
1.80001e-13,12
4.72676e-15,15
0.289725,8
0.126121,7
5.23707e-14,12
0.0145912,10
0.232584,9
0.0331521,8
0.422403,6
0.00271254,10
0.0411608,8
0.0384537,9
0.137782,6
0.140996,9
0.0292013,9
0.159377,6
0.0953373,8
0.0788847,7
0.0939745,6
0.00429518,9
0.269979,6
0.108553,6
0.0552705,6
0.060271,5
0.331453,3
0.05047,7
0.0819396,7
0.0779473,5
0.10995,3
0.0836337,5
0.0180628,8
0.0659209,4
0.0585406,5
0.10837,4
0.583778,6
0.505187,3
0.0591239,6
0.129663,3
0.0346767,5
0.101169,5
0.0888476,5
0.068282,6
0.0946646,4
0.00664859,8
0.0542955,7
0.0487933,7
0.0675257,4
0.0591386,6
0.0598385,6
0.0540473,7
0.128279,4
0.0668727,5
0.11042,4
0.0128653,8
0.0643447,6
0.00636401,4
0.0710928,8
0.0455291,4
0.0392262,8
0.107579,4
0.0654437,6
0.126649,4
0.09936,6
0.0551414,5
0.0157029,5
0.0814257,3
0.0898685,3
0.107939,5
0.098558,7
0.00342894,4
0.0527555,5
0.00331839,8
0.0177496,9
0.0710869,6
0.0203609,7
0.228641,8
0.0118484,9
0.486557,5
7.92502e-14,12
0.00480698,8
0.0495349,6
0.115578,5
0.0296603,7
0.0280286,6
0.305225,5
0.0439667,4
0.00843426,5
0.0740156,5
0.124711,3
0.0789304,5
0.0789304,5
0.0738544,5
0.0938582,6
0.128273,3
0.0537774,5
0.0497823,8
0.126018,3
