RMSE,Penalty
0.120527,4
0.0504987,7
0.0992402,6
0.0534071,5
0.0382141,6
0.0298513,7
0.0872905,6
0.354379,5
0.0871683,6
0.0483311,5
0.0585539,5
0.103276,6
0.0865919,6
0.00482061,6
0.0030075,8
0.00294149,6
0.0464814,7
0.106306,6
0.0749299,3
0.00767354,5
0.0281399,9
0.0337662,6
0.0412911,7
0.369871,5
0.0823767,7
0.00188054,8
0.00295838,7
0.0198092,8
0.0415796,7
0.0337275,7
0.024367,8
0.0278086,7
0.0378482,5
0.0495313,6
0.0959255,6
0.12793,5
0.099541,4
0.0523254,5
0.0102236,9
0.00290252,8
0.00705636,7
5.93199e-14,11
0.0104299,8
1.4005e-14,11
0.00457979,6
0.0550863,6
0.0321634,9
0.0901684,6
0.00351544,7
0.00125174,10
0.0388489,7
0.0491945,6
0.00664562,9
0.137548,1
0.050817,4
0.074621,5
0.0121029,8
2.35894e-11,10
1.07631e-14,10
0.0155373,8
0.0352327,7
0.0546957,5
0.00618729,6
0.127817,5
0.128479,4
0.35462,8
0.0454634,9
1.22596e-13,11
0.299088,5
9.54294e-15,21
1.41461e-13,17
9.38882e-13,13
1.68588e-13,14
2.5489e-15,15
0.0175063,12
0.12058,11
0.177545,11
0.0335384,8
1.89242e-12,13
0.155369,10
0.0283114,9
0.153483,8
0.0297837,10
0.194559,8
0.00245604,11
0.201608,7
0.0921264,4
0.0548794,10
0.0482616,8
0.10714,3
0.102958,5
0.00151985,9
0.0483366,7
0.0277505,9
0.102025,4
0.052908,6
0.0658069,5
0.044598,6
0.066069,7
0.0517749,6
0.073048,4
0.0483489,7
0.0369256,9
0.0508681,8
0.0897518,4
0.0629334,4
0.5579,4
0.0487159,5
0.0768059,5
0.0723266,6
0.0705598,7
0.0229667,10
0.0541026,5
0.0431692,7
0.0370807,10
0.00875986,5
0.0213272,9
0.0943236,4
0.0585186,5
0.00361487,6
0.0475058,7
0.00794407,12
0.0464599,6
0.957058,3
0.0787175,7
0.00457367,8
0.00539563,5
0.0391688,6
0.0444199,8
0.0329168,10
0.064579,8
0.0749648,6
0.0388145,5
0.0464946,7
0.0286854,9
0.0642466,7
0.0649767,6
0.061756,6
0.0338867,10
0.059059,7
0.0739927,4
0.0257589,11
0.0399746,5
0.0495469,8
0.0583175,5
0.0592158,6
0.027365,9
0.0447831,10
0.102688,7
0.0286285,10
0.0492003,10
0.0508737,5
0.00834123,7
0.108113,2
0.0992209,5
0.11014,2
0.079293,8
0.0221805,7
0.0576585,5
0.0646585,7
0.0555222,5
0.0704522,4
0.000335399,9
0.0509737,6
0.0431558,5
0.44372,8
0.000804361,10
0.0228799,9
0.0330694,10
